metro_code,name,country,airport_system,num_airports,total_score,aviation_score,economic_score,connectivity_score,latitude,longitude
LON,London Metropolitan Area,GB,BQH/LCY/LGW/LHR/LTN/SEN/STN/XOF,8,94,100,100,80,51.50939,-0.11832
MOW,Moscow,RU,BKA/DME/SVO/VKO/ZIA,5,94,100,100,80,55.751244,37.618423
NYC,New York Metropolitan Area,US,EWR/FLU/JFK/JRA/JRE/LGA/NES/NWS/QNY/TSS/WTC/XNY,12,94,100,100,80,40.712778,-74.005833
PAR,Paris Metropolitan Area,FR,BVA/CDG/JDP/JPU/LBG/ORY/POX/VIY/XCR/XEX/XTT,11,94,100,100,80,48.856667,2.351667
WAS,Washington D.C. Metropolitan Area,US,BOF/BZS/DCA/IAD/JPN,5,94,100,100,80,38.895,-77.036667
SDZ,Shetland Islands Metropolitan Area,GB,FIE/FOA/LSI/LWK/OUK/PSV/SCS,7,89.5,100,100,65,60.31724307915,-1.26169442216
MIL,Mailand Metropolitan Area,IT,BGY/LIN/MXP/PMF,4,88,100,90,70,45.4625,9.186389
STO,Stockholm Metropolitan Area,SE,ARN/BMA/NYO/VST,4,88,100,90,70,59.325,18.05
YTO,Toronto Metropolitan Area,CA,YHM/YKZ/YTZ/YYZ,4,88,100,90,70,43.66135,-79.383087
BJS,Beijing Metropolitan Area,CN,NAY/PEK/PKX,3,82,100,80,60,39.933333,116.383333
DTT,Detroit Metropolitan Area,US,DET/DTW/YIP,3,82,100,80,60,42.333,-83.05
OSA,Osaka Metropolitan Area,JP,ITM/KIX/UKB,3,82,100,80,60,34.693889,135.502222
SEL,Seoul Metropolitan Area,KR,GMP/ICN/SSN,3,82,100,80,60,37.566667,126.966667
TYO,Tokyo Metropolitan Area,JP,HND/NRT/OKO,3,82,100,80,60,35.156111,136.06
YMQ,Montreal Metropolitan Area,CA,YHU/YMX/YUL,3,82,100,80,60,45.5077,-73.5626
SAO,Sao Paulo Metropolitan Area,BR,CGH/GRU/VCP,3,77.5,100,80,45,-23.55,-46.633333
YEA,Edmonton Metropolitan Area,CA,YED/YEG/YXD,3,77.5,100,80,45,53.533333,-113.553
BUH,Bucharest Metropolitan Area,RO,BBU/OTP,2,66,75,70,50,44.4325,26.103889
IZM,Izmir Metropolitan Area,TR,ADB/IGL,2,66,75,70,50,38.42,27.14
ROM,Rome Metropolitan Area,IT,CIA/FCO,2,66,75,70,50,41.883333,12.483333
BAK,Baku Metropolitan Area,AZ,GYD/ZXT,2,61.5,75,70,35,40.395278,49.882222
BHZ,Belo Horizonte Metropolitan Area,BR,CNF/PLU,2,61.5,75,70,35,-19.916667,-43.933333
BUE,Buenos Aires Metropolitan Area,AR,AEP/EZE,2,61.5,75,70,35,-34.6,-58.38
JKT,Jakarta Metropolitan Area,ID,CGK/HLP,2,61.5,75,70,35,-6.2,106.816667
REK,Reykjavik Metropolitan Area,IS,KEF/RKV,2,61.5,75,70,35,64.13333299999,-21.933333
RIO,Rio de Janeiro Metropolitan Area,BR,GIG/SDU,2,61.5,75,70,35,-22.908333,-43.196389